"sexo","est_civil","Region","p7_1","p7_2","p7_3","p7_4","p7_5","p7_6","p7_7","p7_8","p7_9","p7_10"
" Hombre","Separado(a)/Divorciado(a)/Viudo(a)","D. F. y Estado de México","No","No","Sí, en parte","No","Sí","No","Sí, en parte","Sí, en parte","Sí","No"
" Mujer","Separado(a)/Divorciado(a)/Viudo(a)","D. F. y Estado de México","NS","No","No","No","No","No","No","No","No","No"
" Hombre","Unión libre/Casado(a)","Centro","Sí, en parte","Sí","Sí","No","Sí","Sí","Sí","Sí","Sí","No"
" Hombre","Separado(a)/Divorciado(a)/Viudo(a)","Norte","Sí, en parte","Sí, en parte","No","No","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","No"
" Mujer","Separado(a)/Divorciado(a)/Viudo(a)","D. F. y Estado de México","No","Sí, en parte","Sí","Sí","Sí, en parte","Sí","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte"
" Mujer","Unión libre/Casado(a)","Sur","Sí, en parte","Sí","Sí, en parte","No","No","No","Sí, en parte","No","Sí, en parte","Sí, en parte"
" Mujer","Unión libre/Casado(a)","Centro","No","No","No","No","No","No","No","No","No","No"
" Mujer","Unión libre/Casado(a)","Sur","No","No","No","Sí, en parte","No","No","No","No","No","No"
" Mujer","Unión libre/Casado(a)","Centro","Sí","Sí","Sí","Sí","Sí","No","No","Sí","No","No"
" Mujer","Unión libre/Casado(a)","D. F. y Estado de México","Sí","Sí","Sí","No","No","No","No","Sí, en parte","Sí, en parte","Sí, en parte"
" Mujer","Unión libre/Casado(a)","Norte","No","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Unión libre/Casado(a)","Norte","Sí, en parte","Sí, en parte","Sí, en parte","No","Sí, en parte","No","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte"
" Hombre","Unión libre/Casado(a)","D. F. y Estado de México","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Unión libre/Casado(a)","D. F. y Estado de México","Sí, en parte","No","No","No","No","No","Sí, en parte","No","No","No"
" Hombre","Separado(a)/Divorciado(a)/Viudo(a)","Sur","Sí","Sí","Sí, en parte","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Hombre","Unión libre/Casado(a)","Centro","No","Sí","Sí","No","No","No","Sí, en parte","Sí, en parte","Sí, en parte","No"
" Hombre","Soltero(a)","Norte","Sí, en parte","Sí","Sí","Sí, en parte","Sí","Sí, en parte","Sí, en parte","Sí","Sí","Sí, en parte"
" Mujer","Separado(a)/Divorciado(a)/Viudo(a)","D. F. y Estado de México","No","No","Sí","No","Sí","Sí","Sí","Sí","Sí","Sí"
" Hombre","Separado(a)/Divorciado(a)/Viudo(a)","Centro","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Unión libre/Casado(a)","Norte","No","No","No","No","No","No","No","No","No","No"
" Mujer","Unión libre/Casado(a)","Norte","NS","Sí","Sí","Sí","NC","Sí, en parte","Sí","Sí","Sí","Sí, en parte"
" Hombre","Unión libre/Casado(a)","Centro","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Unión libre/Casado(a)","Centro","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Separado(a)/Divorciado(a)/Viudo(a)","Norte","Sí","Sí","Sí","No","Sí","No","Sí","Sí","Sí","No"
" Mujer","Unión libre/Casado(a)","Centro","Sí","Sí","Sí, en parte","Sí, en parte","Sí, en parte","Sí","Sí","Sí, en parte","Sí, en parte","Sí"
" Mujer","Unión libre/Casado(a)","Centro","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Hombre","Unión libre/Casado(a)","Norte","No","No","No","No","Sí","No","NS","No","No","No"
" Hombre","Unión libre/Casado(a)","Sur","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Hombre","Separado(a)/Divorciado(a)/Viudo(a)","Norte","Sí, en parte","Sí, en parte","No","Sí, en parte","Sí, en parte","No","Sí, en parte","Sí, en parte","Sí, en parte","No"
" Hombre","Unión libre/Casado(a)","Centro","Sí, en parte","No","Sí, en parte","No","Sí, en parte","Sí, en parte","No","No","Sí, en parte","Sí, en parte"
" Mujer","Unión libre/Casado(a)","D. F. y Estado de México","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Unión libre/Casado(a)","Centro","No","No","No","No","Sí","Sí","Sí","Sí, en parte","Sí, en parte","No"
" Hombre","Unión libre/Casado(a)","D. F. y Estado de México","No","Sí, en parte","Sí, en parte","No","Sí, en parte","No","Sí, en parte","Sí, en parte","Sí, en parte","No"
" Mujer","Soltero(a)","Norte","Sí","Sí","Sí, en parte","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Unión libre/Casado(a)","Centro","Sí","Sí","Sí","Sí","No","No","Sí","Sí","Sí","No"
" Mujer","Unión libre/Casado(a)","Sur","Sí","Sí, en parte","Sí","Sí","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte"
" Hombre","Soltero(a)","D. F. y Estado de México","Sí","Sí","Sí","No","Sí","No","Sí","Sí","Sí","No"
" Hombre","Unión libre/Casado(a)","D. F. y Estado de México","No","Sí, en parte","Sí, en parte","No","Sí, en parte","No","Sí, en parte","Sí, en parte","Sí, en parte","No"
" Hombre","Unión libre/Casado(a)","Centro","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Unión libre/Casado(a)","Centro","Sí","Sí, en parte","Sí","NS","Sí","NS","Sí","Sí, en parte","Sí","NS"
" Mujer","Unión libre/Casado(a)","Centro","Sí","Sí","Sí","Sí, en parte","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Unión libre/Casado(a)","Norte","Sí, en parte","No","Sí","Sí, en parte","No","Sí, en parte","Sí, en parte","Sí","Sí, en parte","No"
" Mujer","Unión libre/Casado(a)","Norte","Sí","Sí","Sí","No","Sí","No","Sí, en parte","Sí, en parte","Sí, en parte","No"
" Mujer","Unión libre/Casado(a)","Sur","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Unión libre/Casado(a)","Centro","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Hombre","Unión libre/Casado(a)","Norte","Sí, en parte","Sí, en parte","Sí, en parte","No","Sí, en parte","Sí, en parte","Sí, en parte","No","Sí, en parte","No"
" Mujer","Unión libre/Casado(a)","Centro","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Unión libre/Casado(a)","D. F. y Estado de México","Sí","Sí, en parte","Sí, en parte","Sí","Sí, en parte","Sí, en parte","Sí","Sí, en parte","No","Sí, en parte"
" Mujer","Unión libre/Casado(a)","Norte","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
" Mujer","NC","Sur","Sí, en parte","Sí, en parte","NS","NS","Sí, en parte","No","Sí","NS","Sí, en parte","NS"
" Mujer","Separado(a)/Divorciado(a)/Viudo(a)","Centro","Sí, en parte","Sí","Sí, en parte","No","Sí, en parte","No","Sí","Sí","Sí","No"
" Mujer","Separado(a)/Divorciado(a)/Viudo(a)","D. F. y Estado de México","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Hombre","Separado(a)/Divorciado(a)/Viudo(a)","D. F. y Estado de México","Sí","Sí","Sí","Sí, en parte","Sí, en parte","No","Sí","Sí, en parte","Sí, en parte","No"
" Hombre","Unión libre/Casado(a)","Centro","Sí, en parte","Sí, en parte","Sí, en parte","No","Sí, en parte","No","Sí, en parte","No","Sí, en parte","No"
" Mujer","Separado(a)/Divorciado(a)/Viudo(a)","Centro","Sí","Sí, en parte","Sí","Sí, en parte","Sí","Sí, en parte","Sí","Sí","Sí","Sí, en parte"
" Mujer","Soltero(a)","Sur","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Unión libre/Casado(a)","Centro","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Unión libre/Casado(a)","Sur","No","No","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí","No","Sí, en parte","Sí"
" Mujer","Unión libre/Casado(a)","Sur","No","No","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí","No","Sí, en parte","Sí"
" Mujer","Unión libre/Casado(a)","Centro","No","No","No","No","No","No","No","No","No","No"
" Mujer","Unión libre/Casado(a)","Sur","Sí, en parte","Sí, en parte","Sí, en parte","No","Sí, en parte","NS","Sí, en parte","Sí, en parte","Sí, en parte","No"
" Hombre","Unión libre/Casado(a)","Sur","Sí","Sí","Sí, en parte","Sí, en parte","Sí","Sí, en parte","Sí","Sí","Sí, en parte","Sí, en parte"
" Hombre","Unión libre/Casado(a)","Sur","Sí","Sí","No","Sí, en parte","No","No","Sí, en parte","Sí, en parte","Sí","Sí"
" Mujer","Unión libre/Casado(a)","D. F. y Estado de México","Sí","Sí","Sí","Sí","Sí","Sí, en parte","Sí","Sí","Sí","Sí"
" Mujer","Unión libre/Casado(a)","Sur","Sí, en parte","Sí, en parte","Sí, en parte","No","Sí, en parte","NS","Sí, en parte","Sí, en parte","Sí, en parte","No"
" Hombre","Unión libre/Casado(a)","D. F. y Estado de México","Sí","Sí","Sí","No","Sí, en parte","No","Sí, en parte","Sí","Sí","No"
" Mujer","Unión libre/Casado(a)","Sur","Sí, en parte","Sí","Sí, en parte","No","Sí","Sí, en parte","Sí","Sí, en parte","Sí","Sí"
" Mujer","Unión libre/Casado(a)","Norte","Sí","Sí","Sí","Sí, en parte","Sí, en parte","Sí","Sí","Sí, en parte","Sí, en parte","No"
" Mujer","Unión libre/Casado(a)","D. F. y Estado de México","Sí, en parte","Sí, en parte","Sí","Sí","Sí","Sí, en parte","Sí, en parte","Sí","Sí","Sí"
" Mujer","Unión libre/Casado(a)","Centro","Sí","Sí","Sí","Sí","No","No","Sí","Sí","Sí","Sí"
" Mujer","Unión libre/Casado(a)","Norte","Sí, en parte","No","Sí, en parte","Sí","Sí, en parte","No","Sí, en parte","Sí, en parte","Sí","Sí, en parte"
" Mujer","Unión libre/Casado(a)","Centro","Sí","Sí","Sí","Sí","Sí","Sí, en parte","Sí","Sí","Sí","Sí"
" Mujer","Separado(a)/Divorciado(a)/Viudo(a)","D. F. y Estado de México","No","Sí","Sí","No","No","No","Sí, en parte","Sí, en parte","Sí, en parte","No"
" Mujer","Unión libre/Casado(a)","D. F. y Estado de México","Sí","Sí, en parte","Sí","No","Sí","No","Sí","Sí","Sí","No"
" Mujer","Unión libre/Casado(a)","Norte","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Unión libre/Casado(a)","Norte","Sí, en parte","Sí, en parte","Sí","Sí, en parte","No","Sí, en parte","No","Sí, en parte","No","Sí, en parte"
" Hombre","Soltero(a)","Centro","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Hombre","Unión libre/Casado(a)","Centro","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Unión libre/Casado(a)","Sur","Sí","Sí, en parte","Sí","No","Sí","Sí, en parte","Sí","Sí, en parte","Sí, en parte","No"
" Hombre","Unión libre/Casado(a)","Centro","Sí, en parte","Sí, en parte","Sí","Sí, en parte","Sí","Sí, en parte","Sí, en parte","Sí","Sí","Sí"
" Hombre","Unión libre/Casado(a)","D. F. y Estado de México","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte"
" Hombre","Unión libre/Casado(a)","Sur","No","Sí, en parte","No","Sí, en parte","No","Sí, en parte","Sí","Sí, en parte","Sí","Sí"
" Mujer","Unión libre/Casado(a)","Centro","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Unión libre/Casado(a)","Centro","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Unión libre/Casado(a)","Centro","Sí, en parte","Sí, en parte","Sí, en parte","No","Sí, en parte","Sí, en parte","Sí, en parte","Sí","Sí, en parte","No"
" Mujer","Unión libre/Casado(a)","Centro","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí","Sí, en parte","Sí, en parte","Sí","Sí","Sí, en parte"
" Hombre","Unión libre/Casado(a)","Centro","Sí","Sí, en parte","Sí, en parte","Sí, en parte","Sí","Sí, en parte","Sí, en parte","Sí","Sí, en parte","Sí"
" Mujer","Unión libre/Casado(a)","Centro","Sí","Sí","Sí","Sí","Sí","Sí, en parte","Sí","Sí","Sí","Sí, en parte"
" Mujer","Unión libre/Casado(a)","Sur","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte"
" Hombre","Unión libre/Casado(a)","Sur","No","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","NS","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte"
" Mujer","Soltero(a)","Sur","Sí, en parte","No","Sí, en parte","No","No","Sí, en parte","Sí","Sí, en parte","Sí, en parte","Sí, en parte"
" Hombre","Unión libre/Casado(a)","Sur","No","Sí","Sí","Sí, en parte","No","No","Sí","Sí, en parte","No","Sí, en parte"
" Hombre","Unión libre/Casado(a)","Sur","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte"
" Hombre","Unión libre/Casado(a)","Sur","No","No","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte"
" Mujer","Unión libre/Casado(a)","D. F. y Estado de México","Sí, en parte","No","Sí","No","Sí, en parte","No","No","No","Sí, en parte","No"
" Hombre","Unión libre/Casado(a)","Norte","No","No","No","No","No","No","No","No","No","No"
" Mujer","Unión libre/Casado(a)","D. F. y Estado de México","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Unión libre/Casado(a)","Centro","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Hombre","Unión libre/Casado(a)","Centro","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Hombre","Unión libre/Casado(a)","Centro","No","No","No","No","No","No","No","No","No","No"
" Mujer","Unión libre/Casado(a)","Norte","Sí, en parte","Sí","Sí, en parte","No","Sí, en parte","Sí, en parte","Sí","Sí, en parte","Sí, en parte","Sí, en parte"
" Hombre","Unión libre/Casado(a)","Sur","NS","NS","NS","NS","Sí, en parte","Sí, en parte","NS","NS","NS","NS"
" Mujer","Unión libre/Casado(a)","D. F. y Estado de México","Sí","Sí","Sí","No","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Unión libre/Casado(a)","D. F. y Estado de México","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Hombre","Unión libre/Casado(a)","D. F. y Estado de México","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Soltero(a)","D. F. y Estado de México","Sí","Sí","Sí","Sí","Sí","No","Sí","Sí","Sí","Sí"
" Mujer","Soltero(a)","D. F. y Estado de México","No","Sí","Sí","No","No","No","Sí","Sí","Sí","No"
" Hombre","Unión libre/Casado(a)","D. F. y Estado de México","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Unión libre/Casado(a)","D. F. y Estado de México","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Unión libre/Casado(a)","D. F. y Estado de México","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Unión libre/Casado(a)","D. F. y Estado de México","No","Sí, en parte","Sí, en parte","No","No","No","No","No","Sí, en parte","No"
" Hombre","Unión libre/Casado(a)","D. F. y Estado de México","NS","NS","Sí","NC","Sí, en parte","NC","NC","Sí","Sí","No"
" Hombre","Unión libre/Casado(a)","D. F. y Estado de México","Sí","Sí","Sí","No","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Soltero(a)","D. F. y Estado de México","No","Sí","Sí","No","No","No","No","No","No","No"
" Hombre","Unión libre/Casado(a)","Norte","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Soltero(a)","Norte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte"
" Mujer","Unión libre/Casado(a)","Norte","Sí, en parte","Sí","Sí, en parte","No","Sí, en parte","Sí","Sí, en parte","No","Sí, en parte","Sí, en parte"
" Hombre","Unión libre/Casado(a)","Sur","No","No","No","No","No","No","No","No","No","No"
" Hombre","Unión libre/Casado(a)","Sur","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí, en parte"
" Hombre","Unión libre/Casado(a)","Sur","No","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Hombre","Unión libre/Casado(a)","Sur","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Soltero(a)","Sur","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Unión libre/Casado(a)","D. F. y Estado de México","Sí, en parte","Sí","No","No","No","Sí","Sí","Sí","Sí, en parte","No"
" Hombre","Soltero(a)","Norte","Sí, en parte","Sí, en parte","Sí","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí","Sí, en parte"
" Mujer","Unión libre/Casado(a)","Norte","Sí, en parte","Sí","Sí, en parte","No","Sí, en parte","Sí, en parte","Sí","Sí, en parte","No","Sí, en parte"
" Mujer","Unión libre/Casado(a)","Norte","Sí, en parte","Sí","Sí, en parte","No","Sí, en parte","Sí, en parte","Sí","Sí, en parte","Sí, en parte","Sí, en parte"
" Mujer","Unión libre/Casado(a)","Norte","Sí","Sí","Sí, en parte","NS","Sí","NS","Sí","Sí, en parte","Sí","NS"
" Hombre","Unión libre/Casado(a)","Norte","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí, en parte","Sí","Sí"
" Hombre","Unión libre/Casado(a)","D. F. y Estado de México","Sí, en parte","Sí, en parte","Sí, en parte","No","NS","NS","Sí, en parte","Sí, en parte","Sí, en parte","NS"
" Hombre","Separado(a)/Divorciado(a)/Viudo(a)","D. F. y Estado de México","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Hombre","Unión libre/Casado(a)","Centro","Sí","Sí","Sí","No","Sí","No","Sí","Sí","Sí","No"
" Hombre","Unión libre/Casado(a)","Sur","Sí, en parte","Sí, en parte","Sí, en parte","No","No","No","Sí","No","Sí, en parte","No"
" Hombre","Separado(a)/Divorciado(a)/Viudo(a)","Sur","No","No","No","No","No","No","No","No","No","No"
" Mujer","Unión libre/Casado(a)","Centro","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
" Mujer","Unión libre/Casado(a)","Sur","Sí, en parte","Sí, en parte","No","Sí, en parte","Sí","No","Sí","Sí","Sí","No"
" Hombre","Unión libre/Casado(a)","D. F. y Estado de México","Sí, en parte","NS","Sí","Sí","Sí, en parte","NS","Sí","No","NS","Sí"
" Mujer","Unión libre/Casado(a)","Centro","Sí, en parte","NS","Sí","Sí, en parte","Sí, en parte","Sí","Sí","Sí, en parte","Sí","Sí, en parte"
" Mujer","Soltero(a)","Centro","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Unión libre/Casado(a)","Centro","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Soltero(a)","Centro","No","Sí","Sí","Sí","Sí","No","Sí","Sí","No","No"
" Hombre","Unión libre/Casado(a)","Centro","Sí","Sí","Sí","No","No","No","Sí","No","No","No"
" Mujer","Unión libre/Casado(a)","Centro","Sí","No","No","No","No","No","No","No","No","No"
" Hombre","Unión libre/Casado(a)","Centro","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Hombre","Unión libre/Casado(a)","D. F. y Estado de México","Sí","No","No","No","No","No","Sí","No","No","No"
" Mujer","Unión libre/Casado(a)","D. F. y Estado de México","Sí","Sí","Sí","Sí, en parte","Sí","No","Sí","Sí","Sí","No"
" Hombre","Unión libre/Casado(a)","D. F. y Estado de México","No","Sí, en parte","Sí, en parte","No","Sí, en parte","No","Sí, en parte","Sí, en parte","Sí, en parte","No"
" Mujer","Unión libre/Casado(a)","D. F. y Estado de México","Sí","Sí","Sí","Sí, en parte","Sí, en parte","Sí, en parte","Sí","Sí, en parte","Sí, en parte","No"
" Hombre","Unión libre/Casado(a)","Centro","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Hombre","Unión libre/Casado(a)","Centro","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Hombre","Unión libre/Casado(a)","Centro","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Soltero(a)","Centro","Sí","Sí","Sí, en parte","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Unión libre/Casado(a)","Centro","Sí","Sí","Sí","Sí","Sí","Sí, en parte","Sí, en parte","Sí","Sí","Sí"
" Mujer","Unión libre/Casado(a)","Centro","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Hombre","Unión libre/Casado(a)","Centro","Sí","Sí","Sí","Sí, en parte","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Unión libre/Casado(a)","Centro","No","No","No","No","No","No","No","No","No","No"
" Mujer","Unión libre/Casado(a)","Centro","No","NS","Sí","No","NS","No","NS","No","NS","No"
" Mujer","Unión libre/Casado(a)","Centro","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Hombre","Unión libre/Casado(a)","Centro","No","No","No","Sí, en parte","No","No","No","No","Sí, en parte","No"
" Mujer","Soltero(a)","Centro","No","No","No","No","No","No","No","No","No","No"
" Hombre","Unión libre/Casado(a)","Centro","Sí","Sí, en parte","Sí","No","No","Sí, en parte","Sí","Sí, en parte","No","Sí, en parte"
" Hombre","Unión libre/Casado(a)","Centro","Sí","Sí, en parte","Sí","Sí, en parte","Sí","Sí","Sí","Sí, en parte","Sí, en parte","Sí, en parte"
" Mujer","Separado(a)/Divorciado(a)/Viudo(a)","Norte","Sí","Sí","Sí","Sí, en parte","Sí","Sí","Sí","Sí, en parte","Sí","Sí"
" Mujer","Unión libre/Casado(a)","Sur","Sí, en parte","No","Sí, en parte","No","Sí, en parte","No","Sí","Sí, en parte","Sí, en parte","No"
" Mujer","NC","D. F. y Estado de México","Sí, en parte","Sí, en parte","Sí, en parte","NS","Sí, en parte","No","Sí","Sí, en parte","Sí, en parte","NS"
" Hombre","Unión libre/Casado(a)","D. F. y Estado de México","No","No","No","No","No","No","No","No","No","No"
" Hombre","Unión libre/Casado(a)","D. F. y Estado de México","Sí","Sí","Sí","No","Sí, en parte","No","Sí","Sí, en parte","Sí, en parte","No"
" Mujer","Separado(a)/Divorciado(a)/Viudo(a)","Norte","No","Sí, en parte","No","Sí, en parte","No","No","Sí","Sí, en parte","Sí, en parte","Sí"
" Hombre","Unión libre/Casado(a)","Norte","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Unión libre/Casado(a)","Sur","Sí","Sí, en parte","Sí, en parte","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Unión libre/Casado(a)","Norte","Sí, en parte","No","No","No","No","No","No","No","No","No"
" Hombre","Unión libre/Casado(a)","Norte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte"
" Mujer","Unión libre/Casado(a)","D. F. y Estado de México","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Unión libre/Casado(a)","D. F. y Estado de México","No","No","No","No","No","No","No","No","No","No"
" Mujer","Soltero(a)","D. F. y Estado de México","Sí","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","No","Sí, en parte","Sí, en parte","Sí, en parte"
" Mujer","Unión libre/Casado(a)","Sur","No","Sí, en parte","No","Sí","No","No","Sí","Sí","Sí, en parte","Sí"
" Mujer","Separado(a)/Divorciado(a)/Viudo(a)","Norte","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Unión libre/Casado(a)","Norte","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Unión libre/Casado(a)","Norte","Sí","Sí","Sí","Sí, en parte","Sí","Sí","Sí","Sí","Sí","No"
" Mujer","Unión libre/Casado(a)","Norte","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
" Mujer","Unión libre/Casado(a)","Norte","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
" Mujer","Soltero(a)","Norte","Sí, en parte","No","Sí, en parte","No","Sí, en parte","Sí, en parte","Sí, en parte","No","No","Sí, en parte"
" Mujer","Soltero(a)","Norte","No","Sí, en parte","No","No","No","No","No","No","No","No"
" Mujer","Unión libre/Casado(a)","Norte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte"
" Mujer","Unión libre/Casado(a)","Norte","Sí, en parte","Sí","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte"
" Mujer","Unión libre/Casado(a)","Norte","Sí","Sí","Sí, en parte","Sí, en parte","Sí","Sí","Sí","Sí, en parte","Sí","Sí"
" Mujer","Separado(a)/Divorciado(a)/Viudo(a)","Norte","Sí, en parte","Sí","Sí, en parte","Sí","Sí, en parte","No","No","Sí, en parte","Sí, en parte","No"
" Mujer","Unión libre/Casado(a)","Norte","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Hombre","Unión libre/Casado(a)","Norte","Sí","Sí","Sí","Sí, en parte","Sí, en parte","Sí","Sí","Sí, en parte","Sí","Sí"
" Hombre","Separado(a)/Divorciado(a)/Viudo(a)","Norte","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí"
" Mujer","Unión libre/Casado(a)","Norte","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
" Mujer","Unión libre/Casado(a)","Norte","Sí","Sí","Sí","NS","Sí","Sí","Sí","Sí","Sí","NS"
" Mujer","Unión libre/Casado(a)","Norte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","No","Sí, en parte","Sí, en parte","Sí","Sí, en parte","Sí, en parte"
" Hombre","Unión libre/Casado(a)","Norte","Sí","Sí","Sí","Sí","Sí","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí"
" Mujer","Unión libre/Casado(a)","Centro","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte","Sí, en parte"
